"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006814","BP","GO:0006814","sodium ion transport","34/1218","254/18614",5.59487529760227e-05,0.00188989113340987,0.001563743435101,"OSR1/WNK4/SLC6A15/ATP6V1B1/NKAIN1/SPTBN4/SCN4B/SCNN1G/ATP1A2/SCN2B/FXYD1/SLC4A10/SCNN1D/SCN5A/CACNA1G/SLC6A4/NKAIN2/SCN7A/SLC13A5/SLC38A11/TESC/HCN1/WNK3/DRD2/NKX2-5/SLC17A8/SLC6A2/NKAIN3/ATP1A4/SLC6A14/SLC13A2/UMOD/ATP12A/SLC5A7",34
"GO:0001654","BP","GO:0001654","eye development","46/1218","385/18614",5.61576208422108e-05,0.00188989113340987,0.001563743435101,"BCL2/NTRK2/BMPR1B/CDON/FOXC1/FGF10/FGF2/PDE6B/NDP/NR2E3/SLITRK6/FOXC2/SOX8/EPHB1/ANGPTL7/FGF9/HPCA/ADAMTS18/DLX2/NES/GATA3/CRB1/TMEM215/SDK2/GPM6A/ABCB5/LAMC3/ATP2B2/RP1/KERA/RD3/SIX3/HCN1/CRYAB/OLFM3/DRD2/RBP4/CELF4/SLC17A8/FREM2/FOXN4/SLC1A1/SMOC1/CYP1A1/CALB1/RPE65",46
"GO:0086091","BP","GO:0086091","regulation of heart rate by cardiac conduction","11/1218","42/18614",5.84774689500968e-05,0.00194659866939456,0.00161066467598583,"KCNE4/CACNB2/SCN4B/KCNJ3/SCN2B/SCN5A/CACNA1G/KCND3/KCNE1/CTNNA3/HCN1",11
"GO:0050796","BP","GO:0050796","regulation of insulin secretion","25/1218","163/18614",5.86139060515003e-05,0.00194659866939456,0.00161066467598583,"TRH/IRS2/SFRP1/IRS1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/BAIAP3/RFX6/SLC30A8/SYT9/MYRIP/GCK/CNR1/ADCY8/DOC2B/DRD2/RBP4/G6PC2/NR0B2",25
"GO:0048640","BP","GO:0048640","negative regulation of developmental growth","20/1218","116/18614",5.98608739255936e-05,0.00197501759200259,0.00163417920699522,"STC2/MAG/WNT3/CGA/SEMA3B/SEMA6A/SLIT1/MYOZ1/SEMA3G/MAP2/KCNK2/SLC6A4/SEMA6D/FGFR3/ADRB1/RBP4/EPHA7/PI16/BCL11A/MT3",20
"GO:0008544","BP","GO:0008544","epidermis development","45/1218","375/18614",6.07080547380893e-05,0.00198996272933685,0.00164654518934202,"BCL2/FOXC1/FGF10/FGF2/FGFR2/LAMA3/KRT14/KRT31/SLITRK6/KRT6B/KRT16/KLK14/BNC1/UGCG/PTCH2/KLK5/NTF4/IL20/KRT5/EDAR/FERMT1/KRT17/KRT79/COL17A1/KRT1/TMEM132E/ALOX12/KLK7/KRT6C/KRT77/NGFR/KRT15/ALX4/DCT/ALOXE3/SOSTDC1/TP63/PLA2G10/FOXN1/KRT6A/FGF20/KRTDAP/ALOX12B/KRT34/KRT9",45
"GO:0048857","BP","GO:0048857","neural nucleus development","14/1218","65/18614",6.39221265717386e-05,0.00208179932215572,0.0017225330949858,"BCL2/KCNC2/PLP1/FGF2/FGF9/NDRG2/ASCL1/KCNC1/KCNE1/MAOB/CHRNB2/S100A1/KIRREL3/CDK5R2",14
"GO:1902075","BP","GO:1902075","cellular response to salt","29/1218","204/18614",6.5288903077108e-05,0.0021126819405977,0.00174808614986481,"ADCY1/SYT1/PTGS2/CHRM3/LEP/HPCA/SCNN1G/SLC1A2/RYR3/SCNN1D/SCN5A/MYOG/NPTX1/SYT9/CHRNB2/FOS/FOSB/SLC13A5/KCNH1/SYT8/FABP4/ADCY8/NLGN1/P2RY4/SLC1A1/SYT4/BCL11A/SLC13A2/SYT10",29
"GO:0099500","BP","GO:0099500","vesicle fusion to plasma membrane","8/1218","23/18614",6.63420580772996e-05,0.00213308731958095,0.00176497007342088,"PRRT2/CPLX1/SNAP25/SYT1/DOC2A/SYT9/DOC2B/CPLX2",8
"GO:0050679","BP","GO:0050679","positive regulation of epithelial cell proliferation","31/1218","225/18614",6.79169326124546e-05,0.00216990301156754,0.00179543230250646,"AGTR1/OSR1/IRS2/FGF10/SFRP1/FGF2/FGFR2/DLX6/ZNF703/EYA1/PTN/EGR3/MYC/FGF9/CCND1/BMP2/IGF2/BMP5/SCN5A/AREG/HPN/NR4A1/DLX5/THBS4/PROK1/FGFBP1/TP63/TACR1/ODAM/NKX2-5/SPINK1",31
"GO:0150063","BP","GO:0150063","visual system development","46/1218","389/18614",7.21526967093066e-05,0.00228638519407996,0.00189181258864569,"BCL2/NTRK2/BMPR1B/CDON/FOXC1/FGF10/FGF2/PDE6B/NDP/NR2E3/SLITRK6/FOXC2/SOX8/EPHB1/ANGPTL7/FGF9/HPCA/ADAMTS18/DLX2/NES/GATA3/CRB1/TMEM215/SDK2/GPM6A/ABCB5/LAMC3/ATP2B2/RP1/KERA/RD3/SIX3/HCN1/CRYAB/OLFM3/DRD2/RBP4/CELF4/SLC17A8/FREM2/FOXN4/SLC1A1/SMOC1/CYP1A1/CALB1/RPE65",46
"GO:0002791","BP","GO:0002791","regulation of peptide secretion","28/1218","195/18614",7.24686273876375e-05,0.00228638519407996,0.00189181258864569,"TRH/IRS2/SFRP1/IRS1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/ADCYAP1/BAIAP3/RFX6/SLC30A8/SYT9/MYRIP/GCK/CNR1/ADCY8/DOC2B/GHRH/DRD2/RBP4/G6PC2/SPINK1/NR0B2",28
"GO:0048863","BP","GO:0048863","stem cell differentiation","33/1218","247/18614",7.42495361094416e-05,0.00232802272223889,0.00192626452619983,"RBM24/ESR1/BCL2/SOX10/OSR1/SHC4/FOXC1/SFRP1/FGF2/WNT3/FGFR2/SEMA3B/KRT14/EDN3/SEMA6A/FOXC2/SOX8/PTN/SOX5/SEMA3G/FRZB/GPM6A/NRTN/SEMA6D/MEOX1/ERBB4/HMGA2/TP63/FGF19/NKX2-5/SOX6/CDX2/SP7",33
"GO:0030072","BP","GO:0030072","peptide hormone secretion","32/1218","238/18614",8.39459279155679e-05,0.00261579656862831,0.00216437584125389,"TRH/IRS2/SFRP1/IRS1/EDN3/CPLX1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/ADCYAP1/BAIAP3/RFX6/SLC30A8/SYT9/CRHR1/MYRIP/GCK/CNR1/ADCY8/PTPRN2/DOC2B/GHRH/DRD2/RBP4/G6PC2/SPINK1/NR0B2",32
"GO:0019373","BP","GO:0019373","epoxygenase P450 pathway","7/1218","18/18614",8.46542799775291e-05,0.00262168592224888,0.00216924884049619,"CYP2A6/CYP2A7/CYP2B6/CYP2C8/CYP2A13/CYP1A1/CYP4F2",7
"GO:0030902","BP","GO:0030902","hindbrain development","24/1218","157/18614",8.62123576682464e-05,0.00264187060037941,0.00218595015061838,"IGF1R/BCL2/FOXC1/FGF2/ABAT/GPR37L1/EPHB1/ASCL1/EN1/NHLH2/BMP5/KCNC1/SCN5A/KCNE1/SLC6A4/KLHL1/GDF10/SEZ6/LMX1A/DAB1/POU4F1/TBR1/CDK5R2/NEUROG3",24
"GO:0001656","BP","GO:0001656","metanephros development","17/1218","92/18614",8.6511177689194e-05,0.00264187060037941,0.00218595015061838,"BCL2/OSR1/IRX1/FGF10/WNT4/CITED1/FOXC2/SOX8/EYA1/MYC/GATA3/ADIPOQ/GREB1L/ROBO2/POU3F3/UMOD/CALB1",17
"GO:0030073","BP","GO:0030073","insulin secretion","28/1218","197/18614",8.68760934356144e-05,0.00264187060037941,0.00218595015061838,"TRH/IRS2/SFRP1/IRS1/CPLX1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/ADCYAP1/BAIAP3/RFX6/SLC30A8/SYT9/MYRIP/GCK/CNR1/ADCY8/PTPRN2/DOC2B/DRD2/RBP4/G6PC2/NR0B2",28
"GO:0008217","BP","GO:0008217","regulation of blood pressure","27/1218","187/18614",8.79612099751158e-05,0.00265885142487655,0.00220000051170034,"NPY1R/AGTR1/EDN3/OPRL1/ABAT/GPR37L1/CARTPT/CHGA/PTGS2/LEP/SCNN1G/ATP1A2/HBB/SCNN1D/ADIPOQ/GLP1R/CTSG/CMA1/CNR1/ADRA1A/ADRB1/TACR1/DRD2/NPY/CALCA/CYP4F2/UMOD",27
"GO:0031338","BP","GO:0031338","regulation of vesicle fusion","8/1218","24/18614",9.38273999640243e-05,0.00281928997034759,0.00233275139760181,"PRRT2/CPLX1/SYT1/DOC2A/SYT9/DOC2B/CPLX2/SYT4",8
"GO:0007616","BP","GO:0007616","long-term memory","10/1218","37/18614",9.47345089235935e-05,0.00282970296477101,0.00234136737096742,"ADCY1/GRIA1/NTF4/ARC/ADCY8/TACR1/DRD2/LRRN4/NPAS4/CALB1",10
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","32/1218","240/18614",9.85424353979729e-05,0.00291113878209581,0.00240874941349491,"NTRK3/NTRK2/CBLN2/BDNF/SLIT1/SLITRK6/CLSTN2/KLK8/NEFL/EPHB1/ARC/EFNB3/AMIGO2/GPM6A/PCDH8/LHFPL4/C1QL1/ICAM5/CHRNB2/PAK3/LRRN3/CTTNBP2/SLITRK3/DRD2/ROBO2/NLGN1/EPHA7/SLC17A8/IL1RAPL1/CAMKV/LRTM2/LRRTM1",32
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","50/1218","440/18614",9.86142495519778e-05,0.00291113878209581,0.00240874941349491,"CYP2A6/BCL2/SOX10/ADCY1/CYP2A7/WNK4/PCSK1/NAT1/SFRP1/ALDH3A1/BCHE/ABAT/TIMP4/CYP2B6/MYC/PTGS2/SLC26A5/SLC1A2/CCND1/NR1I2/GATA3/TRPA1/EMX1/HTR2A/KCNC1/ADIPOQ/SLC6A4/KCNK3/MAOB/FOS/CYP2C8/FOSB/GLYAT/LPL/PPM1E/ADRA1A/GRIN2A/CYP2A13/FMO2/DRD2/NPPC/SLC6A2/SLC1A1/CYP3A7/CYP1A1/CYP4F2/UMOD/GATA4/FGF21/LHCGR",50
"GO:0042472","BP","GO:0042472","inner ear morphogenesis","18/1218","102/18614",0.000101053486389065,0.00295086554633179,0.00244162033694315,"COL2A1/ATP6V1B1/FGF10/FGFR2/SLITRK6/DLX6/EYA1/MYO3B/CHRNA9/FGF9/GATA3/FRZB/MYO15A/HPN/MYO3A/DLX5/FOXG1/KCNQ4",18
"GO:0061458","BP","GO:0061458","reproductive system development","38/1218","305/18614",0.000101129108461846,0.00295086554633179,0.00244162033694315,"PGR/ESR1/BCL2/BMPR1B/PTX3/OSR1/LRP2/FOXC1/FGF10/SFRP1/CGA/FGFR2/WNT4/GFRA1/SOX8/SERPINB5/FGF9/LEP/CCND1/GATA3/GAS2/NHLH2/BMP5/KCNE1/ADAM29/GDF9/NR0B1/GREB1L/NR5A1/TP63/ROBO2/NPPC/RBP4/SPATA22/PSAPL1/ZFP42/GATA4/LHCGR",38
"GO:0007422","BP","GO:0007422","peripheral nervous system development","15/1218","76/18614",0.00010247666647249,0.0029730012204203,0.00245993595016843,"SOX10/NTRK2/ARTN/SOX8/NEFH/EGR3/ASCL1/NHLH2/UGT8/MYOC/SERPINI1/HAPLN2/POU4F1/GFRA3/NEUROG3",15
"GO:0007215","BP","GO:0007215","glutamate receptor signaling pathway","12/1218","52/18614",0.000104299138466029,0.00300858314843722,0.00248937733192904,"GRIA2/PLP1/GRIA1/GRIK1/GRIK3/GRIN2C/GRIK4/GRIN2A/GRM3/GRM7/GRM4/SLC1A1",12
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","26/1218","179/18614",0.000106672236705699,0.0030453014047838,0.00251975894031657,"ESR1/BCL2/AGTR1/PTGER3/OPRL1/TAC1/CHRNA9/RIC3/ADCYAP1/GNG3/CCKBR/PTGER2/PTGFR/HTR2A/GLP1R/SAA1/GPR17/ADRA1D/ADRA1A/ADCY8/TACR1/DRD2/P2RY4/CALCA/SPINK1/LHCGR",26
"GO:0099003","BP","GO:0099003","vesicle-mediated transport in synapse","30/1218","220/18614",0.00010677859521528,0.0030453014047838,0.00251975894031657,"RIMS4/ATP6V1B1/PRRT2/CPLX1/SNAP25/SYN1/SYT1/DOC2A/SYN2/ARC/HPCA/SV2A/DNAJC6/SYP/SYT9/ABCA13/BSN/SV2B/SNAP91/SYT8/GSG1L/SLC18A1/DOC2B/NLGN1/CPLX2/NPY/SLC17A8/P2RY4/SYT4/UNC13A",30
"GO:0007517","BP","GO:0007517","muscle organ development","42/1218","351/18614",0.000112391544808437,0.00318737369771342,0.00263731312714298,"RBM24/BCL2/MKX/CDON/LRP2/FOXC1/FGFR2/TGFBR3/FOXC2/SOX8/MYOZ1/CHODL/BTG2/EGR3/ITGA7/EPHB1/TNNC1/ELN/BMP2/SGCG/CASQ1/IGF2/DES/SMYD1/SPEG/MYOG/NR4A1/FOS/ALX4/BARX2/POPDC3/CRYAB/TRIM72/NKX2-5/SOX6/NPHS1/KY/MYH7/POU4F1/ACTC1/XIRP2/MYF6",42
"GO:0006835","BP","GO:0006835","dicarboxylic acid transport","17/1218","94/18614",0.000114184968637758,0.00322014369655531,0.00266442784801307,"NPY5R/TRH/NTRK2/LRP2/GFAP/GJA1/ABAT/SLC26A5/SLC1A2/ATP1A2/SLC13A5/GRM7/SLC26A9/SLC17A8/SLC1A1/SYT4/SLC13A2",17
"GO:0035265","BP","GO:0035265","organ growth","26/1218","180/18614",0.000117081458974349,0.00328348447168064,0.00271683759772057,"ESR1/BCL2/FOXC1/FGF10/FGF2/CGA/FGFR2/TGFBR3/COL27A1/FOXC2/FGF9/LEP/IGF2/KCNK2/SLC6A4/FGFR3/ADRA1A/ERBB4/NPPC/NKX2-5/RBP4/PSAPL1/PI16/FGF20/MAEL/GATA4",26
"GO:0003407","BP","GO:0003407","neural retina development","15/1218","77/18614",0.000119677260991684,0.00333773930102773,0.00276172940747311,"NTRK2/SOX8/DLX2/CRB1/SDK2/GPM6A/ATP2B2/RP1/SIX3/HCN1/SLC17A8/FOXN4/SLC1A1/CALB1/RPE65",15
"GO:0098661","BP","GO:0098661","inorganic anion transmembrane transport","20/1218","122/18614",0.000123608331988398,0.00342843329602984,0.00283677189895871,"CLIC6/GLRA3/TTYH1/GLRB/ANO9/SLC26A5/CLCA4/FXYD1/ADAMTS8/OCA2/ANO4/GABRA5/ANO2/SLC26A9/SLC17A8/SLC1A1/GABRB1/GABRG1/GABRA4/GABRA1",20
"GO:0002790","BP","GO:0002790","peptide secretion","32/1218","243/18614",0.000124740787423791,0.00344093713068469,0.00284711788609493,"TRH/IRS2/SFRP1/IRS1/EDN3/CPLX1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/ADCYAP1/BAIAP3/RFX6/SLC30A8/SYT9/CRHR1/MYRIP/GCK/CNR1/ADCY8/PTPRN2/DOC2B/GHRH/DRD2/RBP4/G6PC2/SPINK1/NR0B2",32
"GO:0045137","BP","GO:0045137","development of primary sexual characteristics","31/1218","233/18614",0.000130793701116074,0.00354991953313691,0.00293729266567005,"PGR/ESR1/BCL2/BMPR1B/PTX3/OSR1/LRP2/FOXC1/SFRP1/CGA/WNT4/GFRA1/SOX8/FGF9/LEP/CCND1/GATA3/GAS2/NHLH2/KCNE1/DACH2/DACH1/ADAM29/GDF9/NR0B1/NR5A1/ROBO2/NPPC/ZFP42/GATA4/LHCGR",31
"GO:0060291","BP","GO:0060291","long-term synaptic potentiation","18/1218","104/18614",0.000130801314018119,0.00354991953313691,0.00293729266567005,"ADCY1/NTRK2/MPP2/GFAP/PRRT1/SNAP25/FAM107A/PTN/ZDHHC2/ARC/CX3CR1/GRIN2C/ADCY8/GRIN2A/DRD2/SLC1A1/CALB1/LRRTM1",18
"GO:0070252","BP","GO:0070252","actin-mediated cell contraction","18/1218","104/18614",0.000130801314018119,0.00354991953313691,0.00293729266567005,"KCNE4/NOS1AP/GJA1/CACNB2/SCN4B/KCNJ3/TNNC1/ATP1A2/SCN2B/SCN5A/CACNA1G/KCND3/KCNE1/CTNNA3/VIL1/MYH7/ACTC1/GATA4",18
"GO:0001508","BP","GO:0001508","action potential","22/1218","142/18614",0.000136911869563289,0.00369588832917371,0.0030580709171243,"KCNC2/NTRK2/KCNE4/NOS1AP/GJA1/CACNB2/SCN4B/KCNJ3/ATP1A2/SCN2B/KCNIP2/CLDN19/SCN5A/CACNA1G/KCND3/KCNE1/CHRNB2/CTNNA3/CNR1/HCN1/ADRA1A/TACR1",22
"GO:0042471","BP","GO:0042471","ear morphogenesis","20/1218","123/18614",0.000138693907029896,0.00372407895046231,0.00308139654588257,"COL2A1/OSR1/ATP6V1B1/FGF10/FGFR2/SLITRK6/DLX6/EYA1/MYO3B/CHRNA9/FGF9/GATA3/FRZB/GJB6/MYO15A/HPN/MYO3A/DLX5/FOXG1/KCNQ4",20
"GO:0050807","BP","GO:0050807","regulation of synapse organization","31/1218","234/18614",0.000141536186589404,0.00378028925874769,0.00312790636806882,"NTRK3/NTRK2/CBLN2/BDNF/SLIT1/SLITRK6/CLSTN2/KLK8/NEFL/EPHB1/ARC/EFNB3/AMIGO2/GPM6A/PCDH8/LHFPL4/C1QL1/ICAM5/CHRNB2/PAK3/LRRN3/CTTNBP2/SLITRK3/DRD2/ROBO2/NLGN1/EPHA7/IL1RAPL1/CAMKV/LRTM2/LRRTM1",31
"GO:0045956","BP","GO:0045956","positive regulation of calcium ion-dependent exocytosis","6/1218","14/18614",0.000147459673224667,0.00391288264198185,0.00323761746671616,"SYT1/SYT9/DOC2B/SYT4/SYT10/CDK5R2",6
"GO:0050953","BP","GO:0050953","sensory perception of light stimulus","30/1218","224/18614",0.000148050828965637,0.00391288264198185,0.00323761746671616,"COL2A1/NXNL2/RGS9/PDE6B/NDP/NR2E3/SLITRK6/GLRB/CACNB2/MYO3B/CACNA1F/CRB1/CLDN19/SLC4A10/MYO3A/RGR/CHRNB2/SFRP5/RDH5/RLBP1/LAMC3/RP1/EYA4/KERA/RD3/SIX3/LCTL/RBP4/RPE65/PCDH15",30
"GO:0072080","BP","GO:0072080","nephron tubule development","17/1218","96/18614",0.000149329134556162,0.00392611182937243,0.00324856362894107,"BCL2/OSR1/IRX1/WNK4/FGF2/WNT4/CITED1/SOX8/WNT11/EYA1/MYC/GATA3/BMP2/GREB1L/POU3F3/UMOD/CALB1",17
"GO:0010001","BP","GO:0010001","glial cell differentiation","31/1218","235/18614",0.000153062664469735,0.00397457559061131,0.00328866376335509,"SOX10/MAG/NTRK3/NTRK2/MAPT/PLP1/FGF10/FGF2/GFAP/DUSP15/IL6ST/SOX8/GPR37L1/PTN/PTPRZ1/ASCL1/DLX2/CRB1/BMP2/EMX1/ASPA/IL34/MYOC/GPR17/LAMC3/VTN/CNTN2/ZNF488/SOX6/DAB1/MT3",31
"GO:0009409","BP","GO:0009409","response to cold","12/1218","54/18614",0.000153534516673773,0.00397457559061131,0.00328866376335509,"ZNF516/SLC25A27/RGS7/UCP1/TRPA1/PLIN1/CIDEA/TRPM8/FOS/LPL/ADRB1/PCSK1N",12
"GO:0086002","BP","GO:0086002","cardiac muscle cell action potential involved in contraction","12/1218","54/18614",0.000153534516673773,0.00397457559061131,0.00328866376335509,"KCNE4/NOS1AP/GJA1/CACNB2/SCN4B/KCNJ3/SCN2B/SCN5A/CACNA1G/KCND3/KCNE1/CTNNA3",12
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential","15/1218","79/18614",0.00016173986611302,0.00416562675580881,0.00344674430041066,"KCNE4/NOS1AP/GJA1/CACNB2/SCN4B/KCNJ3/ATP1A2/SCN2B/KCNIP2/SCN5A/CACNA1G/KCND3/KCNE1/CTNNA3/HCN1",15
"GO:0048608","BP","GO:0048608","reproductive structure development","37/1218","301/18614",0.000163426346060779,0.00418769642088738,0.00346500529612168,"PGR/ESR1/BCL2/BMPR1B/PTX3/OSR1/LRP2/FOXC1/FGF10/SFRP1/CGA/FGFR2/WNT4/GFRA1/SOX8/SERPINB5/FGF9/LEP/CCND1/GATA3/GAS2/NHLH2/BMP5/KCNE1/ADAM29/GDF9/NR0B1/GREB1L/NR5A1/TP63/ROBO2/NPPC/RBP4/PSAPL1/ZFP42/GATA4/LHCGR",37
"GO:0048469","BP","GO:0048469","cell maturation","26/1218","184/18614",0.000168374637439253,0.0042927028777442,0.00355189027835703,"TFCP2L1/PGR/BCL2/SOX10/ROPN1/ROPN1B/SPTBN4/SOX8/ABHD2/TRIM58/BNC1/ASCL1/GATA3/KCNIP2/KCNE1/C1QL1/MYOC/ANGPTL8/GLDN/EPHA8/SIX3/PLA2G10/CNTN2/NPPC/BCL11A/SPINK1",26
"GO:0071695","BP","GO:0071695","anatomical structure maturation","32/1218","247/18614",0.000169354737589522,0.00429599354448195,0.00355461305874226,"TFCP2L1/PGR/BCL2/SOX10/ROPN1/ROPN1B/SPTBN4/SOX8/ABHD2/TRIM58/BNC1/LEP/ASCL1/FERMT1/CX3CR1/GATA3/BMP2/KCNIP2/KCNE1/C1QL1/MYOC/ANGPTL8/GLDN/FGFR3/EPHA8/SIX3/PLA2G10/CNTN2/NPPC/BCL11A/SPINK1/CDK5R2",32
"GO:0035235","BP","GO:0035235","ionotropic glutamate receptor signaling pathway","8/1218","26/18614",0.000177209943169393,0.00447277896559547,0.00370088976050605,"GRIA2/PLP1/GRIA1/GRIK1/GRIK3/GRIN2C/GRIK4/GRIN2A",8
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","40/1218","336/18614",0.000180535362805379,0.00453404234548038,0.00375158062116651,"SERPINA6/PMAIP1/SERPINA3/SIAH2/MAPT/CST5/SERPINA5/SERPINA11/TIMP4/SERPINA4/SERPINB5/MYC/PTGS2/SERPINA12/ANXA8/CST2/SERPINA10/NGFR/SERPINB7/NR4A1/NLRP6/SERPINB2/SERPINA1/SERPINI1/SPOCK3/SERPINB13/VTN/CRYAB/GRIN2A/SERPINB4/VIL1/TP63/SERPINA9/EPHA7/SLC1A1/SERPINB3/PCSK1N/MT3/SPINK1/KHDC1L",40
"GO:0051965","BP","GO:0051965","positive regulation of synapse assembly","13/1218","63/18614",0.000183284144379017,0.00456264753453228,0.00377524927371426,"NTRK2/CBLN2/BDNF/SLITRK6/CLSTN2/EPHB1/AMIGO2/LRRN3/SLITRK3/NLGN1/IL1RAPL1/LRTM2/LRRTM1",13
"GO:0006584","BP","GO:0006584","catecholamine metabolic process","12/1218","55/18614",0.000184826634394266,0.00456264753453228,0.00377524927371426,"INSM1/ABAT/PAH/GATA3/HDC/MAOA/MAOB/CHRNB2/GRIN2A/DRD2/NPY/SLC1A1",12
"GO:0009712","BP","GO:0009712","catechol-containing compound metabolic process","12/1218","55/18614",0.000184826634394266,0.00456264753453228,0.00377524927371426,"INSM1/ABAT/PAH/GATA3/HDC/MAOA/MAOB/CHRNB2/GRIN2A/DRD2/NPY/SLC1A1",12
"GO:0015833","BP","GO:0015833","peptide transport","33/1218","259/18614",0.000185290786660521,0.00456264753453228,0.00377524927371426,"TRH/IRS2/SFRP1/IRS1/EDN3/CPLX1/SYTL4/SNAP25/ABAT/CARTPT/NNAT/CHGA/CHRM3/LEP/ADCYAP1/BAIAP3/RFX6/SLC30A8/CA2/SYT9/CRHR1/MYRIP/GCK/CNR1/ADCY8/PTPRN2/DOC2B/GHRH/DRD2/RBP4/G6PC2/SPINK1/NR0B2",33
"GO:0072028","BP","GO:0072028","nephron morphogenesis","15/1218","80/18614",0.000187202020415364,0.00456264753453228,0.00377524927371426,"BCL2/OSR1/IRX1/WNK4/FGF2/WNT4/CITED1/SOX8/WNT11/EYA1/MYC/GATA3/BMP2/GREB1L/ERBB4",15
"GO:0045165","BP","GO:0045165","cell fate commitment","35/1218","281/18614",0.000187800600232214,0.00456264753453228,0.00377524927371426,"BCL2/NTRK3/CDON/FGF10/SFRP1/FGF2/WNT3/FGFR2/WNT4/FOXC2/SOX8/WNT11/EYA1/PTCH2/SOX5/NTF4/TBX4/ASCL1/DLX2/GATA3/BMP2/MYOG/FOXG1/SOSTDC1/ERBB4/FOXN1/NKX2-5/SOX6/FOXN4/TBX22/POU4F1/TBR1/TRIM15/GATA4/MYF6",35
"GO:0043524","BP","GO:0043524","negative regulation of neuron apoptotic process","23/1218","155/18614",0.00018900996065552,0.00456264753453228,0.00377524927371426,"BCL2/MAG/NTRK2/GDF5/IL6ST/BDNF/CITED1/BTG2/PTPRZ1/NEFL/NTF4/CX3CR1/NES/CCND1/EN1/NTF3/FZD9/GABRA5/NPPC/SLC1A1/POU4F1/FGF20/MT3",23
"GO:0050770","BP","GO:0050770","regulation of axonogenesis","23/1218","155/18614",0.00018900996065552,0.00456264753453228,0.00377524927371426,"MAG/NTRK2/MAPT/WNT3/SEMA3B/RND2/SEMA6A/BDNF/SLIT1/CHODL/NEFL/SEMA3G/EFNB3/MAP2/SEMA6D/PAK3/CNTN2/ROBO2/EPHA7/CDH4/MCF2/DAB1/MT3",23
"GO:0090277","BP","GO:0090277","positive regulation of peptide hormone secretion","18/1218","107/18614",0.000189809029764616,0.00456264753453228,0.00377524927371426,"TRH/IRS2/ABAT/NNAT/CHRM3/ADCYAP1/BAIAP3/RFX6/SLC30A8/MYRIP/GCK/ADCY8/DOC2B/GHRH/DRD2/RBP4/SPINK1/NR0B2",18
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","50/1218","452/18614",0.000190857820804357,0.00456611506834311,0.00377811839836214,"MBOAT1/IGF1R/MAG/NTRK3/NTRK2/MAPT/SFRP1/WNT3/SEMA3B/GFAP/RND2/SEMA6A/BDNF/SLIT1/SNAP25/KLK6/CHODL/MAGI2/PTN/RGMA/KLK8/NEFL/SEMA3G/TUBB2B/ARC/EFNB3/GATA3/MAP2/BMP5/EPHA3/SEMA6D/CHRNB2/PAK3/CSMD3/SERPINI1/CNR1/SEZ6/CNTN2/ROBO2/NLGN1/EPHA7/IL1RAPL1/BCL11A/CDH4/NTNG1/MCF2/DAB1/TBR1/MT3/NEUROG3",50
"GO:0032570","BP","GO:0032570","response to progesterone","10/1218","40/18614",0.000192623261684631,0.00458661426879253,0.00379507995215797,"IGF1R/SOX10/DSG1/ABHD2/PTGER2/FOS/FOSB/TACR1/GABRB1/CSN1S1",10
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","20/1218","126/18614",0.000194131174474862,0.00460081769365776,0.00380683222296146,"CST9/AZU1/CST9L/KLK5/PRTN3/CXCL5/MUC7/KLK7/CTSG/PRSS3/CXCL14/ELANE/RNASE7/CXCL2/WFDC2/KRT6A/SPRR2A/WFDC10B/WFDC13/KLK3",20
"GO:0045055","BP","GO:0045055","regulated exocytosis","30/1218","228/18614",0.000203056852933745,0.00478986445611936,0.00396325426680324,"RIMS4/PRRT2/CPLX1/SNAP25/NLRP5/RASGRP1/SYN1/SYT1/DOC2A/TPH1/CHGA/SYN2/GAB2/SV2A/BAIAP3/STEAP2/SYP/SYT9/SV2B/SYT8/DOC2B/NLGN1/CPLX2/NPY/P2RY4/SYT4/UNC13A/SYT10/ZP4/CDK5R2",30
"GO:0001764","BP","GO:0001764","neuron migration","25/1218","176/18614",0.000205070487825507,0.00481486429089842,0.00398393975858806,"NTRK3/NTRK2/DCX/CELSR2/SEMA6A/DCDC2/CELSR1/TUBB2B/ASCL1/ASTN1/GATA3/GPM6A/DCLK1/FOXG1/SCRT1/CNTN2/DRD2/UNC5D/CCKAR/NTNG1/DAB1/KIRREL3/POU4F1/GFRA3/CDK5R2",25
