"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04960","Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","1/244","37/8644",0.654130096798897,0.999302193317026,0.891912704061224,"KCNJ1",1
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","4/244","158/8644",0.656768403738875,0.999302193317026,0.891912704061224,"SDC1/CLDN8/CLDN1/CNTNAP2",4
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","2/244","84/8644",0.691026597110925,0.999302193317026,0.891912704061224,"ITGB6/CAV3",2
"hsa03440","Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","1/244","41/8644",0.691720169067503,0.999302193317026,0.891912704061224,"EME1",1
"hsa04530","Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","4/244","170/8644",0.712175656196389,0.999302193317026,0.891912704061224,"ERBB2/CLDN8/CLDN1/PRKAG3",4
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","5/244","210/8644",0.712183224135732,0.999302193317026,0.891912704061224,"FGFR4/EFNA3/CALML5/GRIN2B/LPAR3",5
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","2/244","89/8644",0.721189657933473,0.999302193317026,0.891912704061224,"ITGB6/SDC1",2
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","5/244","215/8644",0.731330141081734,0.999302193317026,0.891912704061224,"LBP/CYP2J2/MMP1/CALML5/CYP2C9",5
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","2/244","91/8644",0.732544723065712,0.999302193317026,0.891912704061224,"CACNA1B/GABRE",2
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","1/244","46/8644",0.733036195448506,0.999302193317026,0.891912704061224,"PSMD3",1
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","1/244","46/8644",0.733036195448506,0.999302193317026,0.891912704061224,"CACNA1B",1
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","7/244","297/8644",0.739547254077569,0.999302193317026,0.891912704061224,"CXCL17/EPO/BMP3/CCR8/TNFRSF17/CXCL9/CCL18",7
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","2/244","93/8644",0.743505922583353,0.999302193317026,0.891912704061224,"MMP1/ATP6V0A4",2
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","1/244","48/8644",0.747974219886784,0.999302193317026,0.891912704061224,"HMGCS2",1
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","3/244","139/8644",0.75702970806655,0.999302193317026,0.891912704061224,"MYLK3/CALML5/PRKAG3",3
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","1/244","50/8644",0.762079617590888,0.999302193317026,0.891912704061224,"ATP6V0A4",1
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","1/244","50/8644",0.762079617590888,0.999302193317026,0.891912704061224,"SDC1",1
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","2/244","97/8644",0.76428085231938,0.999302193317026,0.891912704061224,"PIP5K1B/CALML5",2
"hsa05215","Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","2/244","97/8644",0.76428085231938,0.999302193317026,0.891912704061224,"ERBB2/SRD5A2",2
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/244","98/8644",0.769241966106463,0.999302193317026,0.891912704061224,"ERBB2/MED1",2
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","2/244","98/8644",0.769241966106463,0.999302193317026,0.891912704061224,"CYP2J2/CALML5",2
"hsa04550","Cellular Processes","Cellular community - eukaryotes","hsa04550","Signaling pathways regulating pluripotency of stem cells","3/244","143/8644",0.773810506134359,0.999302193317026,0.891912704061224,"FGFR4/SOX2/ONECUT1",3
"hsa04810","Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","5/244","229/8644",0.780007339673879,0.999302193317026,0.891912704061224,"FGFR4/ITGB6/MYLK3/PIP5K1B/C8B",5
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/244","53/8644",0.781776962438504,0.999302193317026,0.891912704061224,"ATP2B3",1
"hsa00600","Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","1/244","54/8644",0.787974892966382,0.999302193317026,0.891912704061224,"NEU4",1
"hsa03460","Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","1/244","54/8644",0.787974892966382,0.999302193317026,0.891912704061224,"EME1",1
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","2/244","103/8644",0.792708764495387,0.999302193317026,0.891912704061224,"ITGB6/CAV3",2
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","2/244","104/8644",0.797142493717386,0.999302193317026,0.891912704061224,"CALML5/CLEC6A",2
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","2/244","106/8644",0.805759686830678,0.999302193317026,0.891912704061224,"GCM1/SLC34A1",2
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","2/244","107/8644",0.809945501889267,0.999302193317026,0.891912704061224,"CALML5/PRKAG3",2
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/244","58/8644",0.811062011985443,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","2/244","108/8644",0.814051030257984,0.999302193317026,0.891912704061224,"LBP/CXCL9",2
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/244","154/8644",0.815119685085242,0.999302193317026,0.891912704061224,"CALML5/PPP1R1A/ATP2B3",3
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","8/244","367/8644",0.820115910267139,0.999302193317026,0.891912704061224,"QRFP/GABRE/MC5R/CHRNA4/GRIN2B/UTS2/LPAR3/SLURP1",8
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","1/244","60/8644",0.821648646575971,0.999302193317026,0.891912704061224,"GUCY1A2",1
"hsa04213","Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","1/244","61/8644",0.826718279641612,0.999302193317026,0.891912704061224,"PRKAG3",1
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","1/244","62/8644",0.83164438237579,0.999302193317026,0.891912704061224,"DTX4",1
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","5/244","250/8644",0.83996099364149,0.999302193317026,0.891912704061224,"SNF8/FGFR4/EPN3/PIP5K1B/CAV3",5
"hsa04670","Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/244","115/8644",0.840639999474063,0.999302193317026,0.891912704061224,"CLDN8/CLDN1",2
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/244","65/8644",0.845601416893771,0.999302193317026,0.891912704061224,"HSD3B2",1
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","1/244","67/8644",0.854259685922557,0.999302193317026,0.891912704061224,"CAV3",1
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","2/244","121/8644",0.860646162489073,0.999302193317026,0.891912704061224,"SCD/PRKAG3",2
"hsa05211","Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","1/244","69/8644",0.862434300194611,0.999302193317026,0.891912704061224,"EGLN3",1
"hsa05120","Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/244","70/8644",0.866348706113272,0.999302193317026,0.891912704061224,"ATP6V0A4",1
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","6/244","306/8644",0.868728056685993,0.999302193317026,0.891912704061224,"PSMD3/DNAH8/CACNA1B/DNAH11/DNAH3/GRIN2B",6
"hsa04622","Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","1/244","71/8644",0.870152171906176,0.999302193317026,0.891912704061224,"CASP10",1
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","1/244","72/8644",0.873847829208741,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa00562","Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/244","73/8644",0.877438721611106,0.999302193317026,0.891912704061224,"PIP5K1B",1
"hsa04740","Organismal Systems","Sensory system","hsa04740","Olfactory transduction","9/244","439/8644",0.879017897630284,0.999302193317026,0.891912704061224,"GUCY2D/CALML5/OR56A3/OR2B6/OR52E6/CNGB1/OR4N4/CNGA2/OR4C6",9
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","1/244","74/8644",0.880927807123519,0.999302193317026,0.891912704061224,"RRM2",1
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","1/244","75/8644",0.884317960572977,0.999302193317026,0.891912704061224,"IYD",1
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","1/244","75/8644",0.884317960572977,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","1/244","76/8644",0.887611975933019,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","1/244","76/8644",0.887611975933019,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","5/244","272/8644",0.887749218804147,0.999302193317026,0.891912704061224,"PSMD3/C8B/CACNA1B/GRIN2B/CAV3",5
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","1/244","77/8644",0.890812568588521,0.999302193317026,0.891912704061224,"CAV3",1
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","2/244","132/8644",0.891476570600308,0.999302193317026,0.891912704061224,"CTSE/ATP6V0A4",2
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/244","79/8644",0.896943967530424,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","1/244","79/8644",0.896943967530424,0.999302193317026,0.891912704061224,"MPHOSPH6",1
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","2/244","137/8644",0.903292577699929,0.999302193317026,0.891912704061224,"CALML5/PRKAG3",2
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","2/244","137/8644",0.903292577699929,0.999302193317026,0.891912704061224,"C8B/GRIN2B",2
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","3/244","191/8644",0.910311262647893,0.999302193317026,0.891912704061224,"FGG/CAMP/FGB",3
"hsa03083","Genetic Information Processing","Chromosome","hsa03083","Polycomb repressive complex","1/244","84/8644",0.91081345948605,0.999302193317026,0.891912704061224,"CBX2",1
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","3/244","192/8644",0.91212160435423,0.999302193317026,0.891912704061224,"CCR8/CXCL9/CCL18",3
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","1/244","85/8644",0.913355692650233,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","3/244","193/8644",0.913898838907336,0.999302193317026,0.891912704061224,"DNAH8/DNAH11/DNAH3",3
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","3/244","193/8644",0.913898838907336,0.999302193317026,0.891912704061224,"MYCN/HPGD/PAX7",3
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","1/244","86/8644",0.915825748847609,0.999302193317026,0.891912704061224,"KCNMB2",1
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","2/244","143/8644",0.915889811632205,0.999302193317026,0.891912704061224,"PSMD3/GRIN2B",2
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/244","88/8644",0.920557436834914,0.999302193317026,0.891912704061224,"GUCY1A2",1
"hsa04211","Organismal Systems","Aging","hsa04211","Longevity regulating pathway","1/244","89/8644",0.922822979776976,0.999302193317026,0.891912704061224,"PRKAG3",1
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","2/244","148/8644",0.925197249907313,0.999302193317026,0.891912704061224,"PIP5K1B/LPAR3",2
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","2/244","148/8644",0.925197249907313,0.999302193317026,0.891912704061224,"CACNA1B/GABRE",2
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","1/244","93/8644",0.931259587252339,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","1/244","93/8644",0.931259587252339,0.999302193317026,0.891912704061224,"CALML5",1
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","5/244","301/8644",0.931719447310456,0.999302193317026,0.891912704061224,"ERBB2/FGFR4/RASGRF1/EFNA3/CACNA1B",5
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","3/244","205/8644",0.932822173623025,0.999302193317026,0.891912704061224,"ERBB2/SDC1/CAV3",3
"hsa04148",NA,NA,"hsa04148","Efferocytosis","2/244","156/8644",0.938101653903147,0.999302193317026,0.891912704061224,"EPO/CD24",2
"hsa04666","Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","1/244","97/8644",0.938777311324288,0.999302193317026,0.891912704061224,"PIP5K1B",1
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","2/244","157/8644",0.939558215882794,0.999302193317026,0.891912704061224,"NKD1/SOX2",2
"hsa05231","Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","1/244","98/8644",0.940525098388389,0.999302193317026,0.891912704061224,"PIP5K1B",1
"hsa05160","Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","2/244","158/8644",0.940982315866014,0.999302193317026,0.891912704061224,"CLDN8/CLDN1",2
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","6/244","359/8644",0.944067464656488,0.999302193317026,0.891912704061224,"ERBB2/FGFR4/ITGB6/EPO/EFNA3/LPAR3",6
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","1/244","101/8644",0.945475866519813,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","2/244","162/8644",0.946367170034317,0.999302193317026,0.891912704061224,"CASP10/SLC10A1",2
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","1/244","102/8644",0.947033151849225,0.999302193317026,0.891912704061224,"C8B",1
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","1/244","104/8644",0.950016074313936,0.999302193317026,0.891912704061224,"LBP",1
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","2/244","166/8644",0.951283594482745,0.999302193317026,0.891912704061224,"EPO/SOCS7",2
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","3/244","223/8644",0.954149020791574,0.999302193317026,0.891912704061224,"AKR1C2/AKR1C1/GSTA3",3
"hsa03013","Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","1/244","108/8644",0.955489253685365,0.999302193317026,0.891912704061224,"KPNA7",1
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","1/244","108/8644",0.955489253685365,0.999302193317026,0.891912704061224,"IRF4",1
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","1/244","108/8644",0.955489253685365,0.999302193317026,0.891912704061224,"PRKAG3",1
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","2/244","174/8644",0.959859745987533,0.999302193317026,0.891912704061224,"NKD1/DKK1",2
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","3/244","232/8644",0.962270666813655,0.999302193317026,0.891912704061224,"ACSL1/PRDM16/PRKAG3",3
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","1/244","114/8644",0.962599988871231,0.999302193317026,0.891912704061224,"CASP10",1
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","8/244","476/8644",0.963086586637182,0.999302193317026,0.891912704061224,"PSMD3/DNAH8/DKK1/CACNA1B/DNAH11/DNAH3/CALML5/GRIN2B",8
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","1/244","115/8644",0.963669813339627,0.999302193317026,0.891912704061224,"GRIN2B",1
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","1/244","117/8644",0.96571888601715,0.999302193317026,0.891912704061224,"CECR2",1
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","2/244","182/8644",0.966982158267284,0.999302193317026,0.891912704061224,"EFNA3/SEMA3E",2
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","1/244","119/8644",0.967652835111483,0.999302193317026,0.891912704061224,"CALML5",1
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","1/244","120/8644",0.96857866598923,0.999302193317026,0.891912704061224,"MRAP2",1
"hsa05167","Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","2/244","194/8644",0.975440434783434,0.999302193317026,0.891912704061224,"CCR8/CALML5",2
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","1/244","129/8644",0.975809068392966,0.999302193317026,0.891912704061224,"MMP1",1
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","1/244","131/8644",0.977175681140411,0.999302193317026,0.891912704061224,"PRKAG3",1
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","1/244","131/8644",0.977175681140411,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","2/244","198/8644",0.977763991185831,0.999302193317026,0.891912704061224,"CLDN8/CLDN1",2
"hsa05206","Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","4/244","310/8644",0.977872829223537,0.999302193317026,0.891912704061224,"ERBB2/DNMT3B/EFNA3/IGF2BP1",4
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","5/244","364/8644",0.978960199916773,0.999302193317026,0.891912704061224,"PSMD3/DNAH8/DNAH11/DNAH3/GRIN2B",5
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","1/244","134/8644",0.979082759755582,0.999302193317026,0.891912704061224,"ATP6V0A4",1
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","1/244","136/8644",0.980265116834669,0.999302193317026,0.891912704061224,"CASP10",1
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","2/244","203/8644",0.980371478068658,0.999302193317026,0.891912704061224,"G6PD/REN",2
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","1/244","137/8644",0.98083109138713,0.999302193317026,0.891912704061224,"PIP5K1B",1
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","3/244","266/8644",0.982313345340627,0.999302193317026,0.891912704061224,"PSMD3/CALML5/TH",3
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","1/244","147/8644",0.98567341445875,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","1/244","149/8644",0.986484452610415,0.999302193317026,0.891912704061224,"ERBB2",1
"hsa04145","Cellular Processes","Transport and catabolism","hsa04145","Phagosome","1/244","152/8644",0.98761606354252,0.999302193317026,0.891912704061224,"ATP6V0A4",1
"hsa04932","Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","1/244","155/8644",0.988653284242454,0.999302193317026,0.891912704061224,"PRKAG3",1
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","1/244","155/8644",0.988653284242454,0.999302193317026,0.891912704061224,"HSD3B2",1
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","1/244","156/8644",0.98897942379303,0.999302193317026,0.891912704061224,"CALML5",1
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","1/244","157/8644",0.98929622640784,0.999302193317026,0.891912704061224,"CDC6",1
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","1/244","165/8644",0.991524930704758,0.999302193317026,0.891912704061224,"TP53INP2",1
"hsa03010","Genetic Information Processing","Translation","hsa03010","Ribosome","1/244","167/8644",0.992005714088688,0.999302193317026,0.891912704061224,"RPL19",1
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","1/244","168/8644",0.992235819758425,0.999302193317026,0.891912704061224,"GSTA3",1
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","1/244","170/8644",0.992676428645684,0.999302193317026,0.891912704061224,"LMAN1L",1
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","1/244","171/8644",0.99288730325159,0.999302193317026,0.891912704061224,"KPNA7",1
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","1/244","186/8644",0.995413067319252,0.999302193317026,0.891912704061224,"CAMP",1
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","4/244","384/8644",0.995562989558586,0.999302193317026,0.891912704061224,"PSMD3/DKK1/CALML5/GRIN2B",4
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","1/244","202/8644",0.997129672923187,0.999302193317026,0.891912704061224,"PSMD3",1
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","1/244","204/8644",0.997293207348033,0.999302193317026,0.891912704061224,"CCR8",1
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","1/244","212/8644",0.997859633747634,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","1/244","225/8644",0.998539228369534,0.999302193317026,0.891912704061224,"CALML5",1
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","2/244","331/8644",0.999302193317026,0.999302193317026,0.891912704061224,"ITGB6/ATP6V0A4",2
